0 -1603 218 1
204 -1202 436 2
408 -801 654 3
612 -400 872 4
-408 -1336 327 5
-204 -935 545 6
0 -534 763 7
204 -133 981 8
-816 -1069 436 9
-612 -668 654 10
-408 -267 872 11
-204 133 1091 12
-1224 -801 545 13
-1020 -400 763 14
-816 0 981 15
-612 400 1200 16
204 -1469 -218 17
408 -1069 0 18
612 -668 218 19
816 -267 436 20
-204 -1202 -109 21
0 -801 109 22
204 -400 327 23
408 0 545 24
-612 -935 0 25
-408 -534 218 26
-204 -133 436 27
0 267 654 28
-1020 -668 109 29
-816 -267 327 30
-612 133 545 31
-408 534 763 32
408 -1336 -654 33
612 -935 -436 34
816 -534 -218 35
1020 -133 0 36
0 -1069 -545 37
204 -668 -327 38
408 -267 -109 39
612 133 109 40
-408 -801 -436 41
-204 -400 -218 42
0 0 0 43
204 400 218 44
-816 -534 -327 45
-612 -133 -109 46
-408 267 109 47
-204 668 327 48
612 -1202 -1091 49
816 -801 -872 50
1020 -400 -654 51
1224 0 -436 52
204 -935 -981 53
408 -534 -763 54
612 -133 -545 55
816 267 -327 56
-204 -668 -872 57
0 -267 -654 58
204 133 -436 59
408 534 -218 60
-612 -400 -763 61
-408 0 -545 62
-204 400 -327 63
0 801 -109 64
endpoints
1 2
1 5
1 17
22 6
22 18
22 21
2 6
2 18
5 6
5 21
17 18
17 21
3 4
3 7
3 19
24 8
24 20
24 23
4 8
4 20
7 8
7 23
19 20
19 23
9 10
9 13
9 25
30 14
30 26
30 29
10 14
10 26
13 14
13 29
25 26
25 29
11 12
11 15
11 27
32 16
32 28
32 31
12 16
12 28
15 16
15 31
27 28
27 31
33 34
33 37
33 49
54 38
54 50
54 53
34 38
34 50
37 38
37 53
49 50
49 53
35 36
35 39
35 51
56 40
56 52
56 55
36 40
36 52
39 40
39 55
51 52
51 55
41 42
41 45
41 57
62 46
62 58
62 61
42 46
42 58
45 46
45 61
57 58
57 61
43 44
43 47
43 59
64 48
64 60
64 63
44 48
44 60
47 48
47 63
59 60
59 63
endedges
1 2 6 5
1 2 18 17
1 5 21 17
22 6 2 18
22 18 17 21
22 6 5 21
3 4 8 7
3 4 20 19
3 7 23 19
24 8 4 20
24 20 19 23
24 8 7 23
9 10 14 13
9 10 26 25
9 13 29 25
30 14 10 26
30 26 25 29
30 14 13 29
11 12 16 15
11 12 28 27
11 15 31 27
32 16 12 28
32 28 27 31
32 16 15 31
33 34 38 37
33 34 50 49
33 37 53 49
54 38 34 50
54 50 49 53
54 38 37 53
35 36 40 39
35 36 52 51
35 39 55 51
56 40 36 52
56 52 51 55
56 40 39 55
41 42 46 45
41 42 58 57
41 45 61 57
62 46 42 58
62 58 57 61
62 46 45 61
43 44 48 47
43 44 60 59
43 47 63 59
64 48 44 60
64 60 59 63
64 48 47 63
